Section,Dist.(Km),Location,River,Lmax (mm),Lmin (mm),Bmax (mm),Bmin (mm),Dmax (mm),Dmin (mm),Color,Type,Number,Number.1
S-39,60.8,Munshiganj Launch Terminal,Dhaleshwari,0.94,0.1,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,123.0,85.0
,,,,0.55,0.23,0.18,0.05,0.0,0.0,"Black,Blue",Fragment and Sheet,36.0,
,,,,0.45,0.03,0.06,0.02,0.0,0.0,"White, Transparent",Film,17.0,
,,,,0.0,0.0,0.0,0.0,0.13,0.03,"Black, Brown",Pellet,19.0,
,,,,0.0,0.0,0.0,0.0,0.12,0.04,White,Foam,1.0,
S-40,62.4,"Char Kishorganj , Munshiganj",Dhaleshwari,0.82,0.1,0.0,0.0,0.0,0.0,"Black, Blue, Red",Fiber and Line,36.0,94.0
,,,,0.13,0.03,0.09,0.03,0.0,0.0,"Black, Blue, Blood Red",Fragment and Sheet,26.0,
,,,,0.37,0.02,0.09,0.04,0.0,0.0,"White, Transparent",Film,17.0,
,,,,0.0,0.0,0.0,0.0,0.3,0.1,"Black, Brown",Pellet,13.0,
,,,,0.0,0.0,0.0,0.0,0.24,0.06,White,Foam,2.0,
S-41,64.0,"Kalagachia, Bandar",Shitalakshya,1.93,0.34,0.0,0.0,0.0,0.0,"Red, Black",Fiber and Line,8.0,47.0
,,,,0.73,0.14,0.49,0.09,0.0,0.0,"Black, Blood Red",Fragment and Sheet,21.0,
,,,,0.45,0.07,0.09,0.02,0.0,0.0,"White, Transparent",Film,6.0,
,,,,0.0,0.0,0.0,0.0,0.13,0.03,"Black, Brown",Pellet,12.0,
S-42,65.6,"Kalagachia, Bandar",Shitalakshya,0.78,0.28,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,14.0,60.0
,,,,0.23,0.09,0.12,0.05,0.0,0.0,"Black, Red, Green",Fragment and Sheet,27.0,
,,,,0.24,0.09,0.18,0.06,0.0,0.0,"White, Silver",Film,8.0,
,,,,0.0,0.0,0.0,0.0,0.23,0.05,"Black, Brown",Pellet,10.0,
,,,,0.0,0.0,0.0,0.0,0.45,0.04,White,Foam,1.0,
S-43,67.2,Modonganj,Shitalakshya,1.68,0.09,0.0,0.0,0.0,0.0,"Black, Blue",Fiber and Line,16.0,77.0
,,,,0.13,0.03,0.07,0.04,0.0,0.0,"Black, Dark Red, Brown",Fragment and Sheet,34.0,
,,,,0.28,0.04,0.09,0.03,0.0,0.0,"White, Transparent",Film,11.0,
,,,,0.0,0.0,0.0,0.0,0.08,0.03,"Black, Brown",Pellet,,
,,,,0.0,0.0,0.0,0.0,0.08,0.02,White,Foam,,
S-44,68.8,Nasim Usman 3rd Bridge,Shitalakshya,3.41,0.22,0.0,0.0,0.0,0.0,Black,Fiber and Line,19.0,110.0
,,,,0.11,0.02,0.05,0.02,0.0,0.0,"Blue, Black, Red",Fragment and Sheet,56.0,
,,,,0.05,0.02,0.04,0.02,0.0,0.0,"White, Transparent",Film ,12.0,
,,,,0.0,0.0,0.0,0.0,0.04,0.02,"Black, Dark Red",Pellet,21.0,
,,,,0.0,0.0,0.0,0.0,0.11,0.04,White,Foam,2.0,
S-45,70.4,"Nitaigonj, Narayanganj",Shitalakshya,0.13,0.05,0.0,0.0,0.0,0.0,Black,Fiber and Line,9.0,66.0
,,,,0.07,0.02,0.05,0.02,0.0,0.0,"Blue, Black, Red",Fragment and Sheet,29.0,
,,,,0.05,0.02,0.04,0.02,0.0,0.0,"White, Transparent",Film,12.0,
,,,,0.0,0.0,0.0,0.0,0.04,0.02,"Black, Dark Red",Pellet,16.0,
S-46,72.0,5th BIWTA Ghat,Shitalakshya,1.63,0.05,0.0,0.0,0.0,0.0,"Black, Blue, Red",Fiber and Line,8.0,49.0
,,,,0.18,0.02,0.32,0.08,0.0,0.0,"Black, Dark Red, Brown",Fragment and Sheet,21.0,
,,,,0.22,0.09,0.63,0.05,0.0,0.0,"White, Transparent",Film,8.0,
,,,,0.0,0.0,0.0,0.0,0.2,0.03,"Black, Brown",Pellet,11.0,
,,,,0.0,0.0,0.0,0.0,0.11,0.03,White,Foam,1.0,
S-47,73.6,Hajiganj(Borofkol),Shitalakshya,0.66,0.12,0.0,0.0,0.0,0.0,"Black, Blue, Red",Fiber and Line,13.0,64.0
,,,,0.19,0.1,0.12,0.05,0.0,0.0,"Black, Blue, Blood Red, Brown",Fragment and Sheet,38.0,
,,,,0.32,0.02,0.11,0.04,0.0,0.0,"White, Transparent",Film,7.0,
,,,,0.0,0.0,0.0,0.0,0.41,0.07,"Black, Brown",Pellet,6.0,
S-48,75.2,Luxminarayan Ghat,Shitalakshya,1.21,0.08,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,16.0,88.0
,,,,0.47,0.04,0.09,0.03,0.0,0.0,"Black, Blue, Blood Red",Fragment and Sheet,44.0,
,,,,0.22,0.09,0.13,0.04,0.0,0.0,"White, Transparent",Film,16.0,
,,,,0.0,0.0,0.0,0.0,0.18,0.04,"Black, Brown",Pellet,12.0,
S-49,76.8,"Godenail, Narayanganj",Shitalakshya,2.07,0.08,0.0,0.0,0.0,0.0,"Black, Blue",Fiber and Line,23.0,82.0
,,,,0.04,0.02,0.04,0.02,0.0,0.0,"Black, Blue, Red",Fragment and Sheet,37.0,
,,,,0.24,0.03,0.06,0.02,0.0,0.0,"White, Transparent",Film,12.0,
,,,,0.0,0.0,0.0,0.0,0.04,0.02,"Black, Brown",Pellet,8.0,
,,,,0.0,0.0,0.0,0.0,0.12,0.03,White,Foam,2.0,
S-50,78.4,Siddirganj,Shitalakshya,1.01,0.19,0.0,0.0,0.0,0.0,"Black, Red, Blue, Green",Fiber and Line,29.0,110.0
,,,,0.12,0.03,0.07,0.02,0.0,0.0,"Black, Dark Red, Green",Fragment and Sheet,43.0,
,,,,0.07,0.02,0.15,0.03,0.0,0.0,"White, Transparent",Film,16.0,
,,,,0.0,0.0,0.0,0.0,0.07,0.03,"Black, Brown",Pellet,22.0,
S-51,80.0,Siddirganj,Shitalakshya,0.87,0.2,0.0,0.0,0.0,0.0,"Black, Blue, Red",Fiber and Line,17.0,77.0
,,,,0.12,0.03,0.08,0.03,0.0,0.0,"Black, Brown",Fragment and Sheet,31.0,
,,,,0.1,0.03,0.7,0.4,0.0,0.0,"White, Transparent",Film,16.0,
,,,,0.0,0.0,0.0,0.0,0.1,0.03,"Black, Brown",Pellet,13.0,
S-52,81.6,Kanchpur Bridge,Shitalakshya,1.62,0.23,0.0,0.0,0.0,0.0,"Black, Blue, Red",Fiber and Line,32.0,114.0
,,,,0.11,0.03,0.06,0.02,0.0,0.0,"Black, Blue, Dark Red",Fragment and Sheet,47.0,
,,,,0.11,0.03,0.09,0.07,0.0,0.0,"White, Transparent",Film,14.0,
,,,,0.0,0.0,0.0,0.0,0.1,0.04,"Black, Brown",Pellet,18.0,
,,,,0.0,0.0,0.0,0.0,0.07,0.02,White,Foam,3.0,
